client_id,Variation,age_group,gender_clean
1266731,Control,45–60,Male
2725837,Control,45–60,Male
3576276,Control,<30,Unknown
9255104,Control,45–60,Female
4015423,Test,30–45,Unknown
2570380,Control,45–60,Unknown
7787484,Test,45–60,Male
8211265,Test,45–60,Unknown
6909769,Test,<30,Unknown
4711787,Control,45–60,Male
9839402,Control,60+,Unknown
1433566,Control,45–60,Unknown
165900,Test,60+,Unknown
2515293,Test,30–45,Female
1891378,Control,45–60,Male
3543667,Test,60+,Unknown
8516565,Test,45–60,Male
8755578,Control,60+,Female
2621982,Control,30–45,Unknown
8699444,Control,45–60,Male
4246419,Control,30–45,Unknown
2968201,Test,30–45,Male
2414386,Control,<30,Unknown
3449388,Control,60+,Female
730714,Test,30–45,Female
4933730,Test,30–45,Female
6842137,Control,45–60,Unknown
704508,Test,<30,Unknown
2475916,Control,45–60,Unknown
5146401,Control,45–60,Female
1682543,Control,30–45,Female
700784,Control,30–45,Female
3158341,Test,60+,Male
7425144,Test,<30,Male
6671465,Test,<30,Unknown
4399785,Test,30–45,Unknown
6018574,Test,<30,Unknown
7074966,Test,30–45,Male
286117,Control,60+,Male
8612264,Test,60+,Male
9838801,Control,45–60,Male
8212764,Control,60+,Female
7313502,Test,60+,Male
7679428,Control,45–60,Male
8945610,Test,60+,Female
3018496,Test,30–45,Female
9094609,Test,45–60,Male
8009380,Test,30–45,Female
5081402,Test,30–45,Male
967593,Test,45–60,Female
9941169,Control,<30,Unknown
1978167,Control,45–60,Female
8974887,Control,60+,Male
8673328,Control,60+,Female
6111738,Test,30–45,Female
735178,Test,30–45,Unknown
9134161,Control,60+,Female
8557337,Test,<30,Male
1198944,Test,30–45,Male
2512607,Control,45–60,Unknown
64871,Control,45–60,Male
1106643,Test,45–60,Male
6956977,Test,60+,Male
5217472,Control,30–45,Male
2508266,Control,<30,Male
4636037,Test,60+,Unknown
959075,Control,30–45,Male
3652116,Control,30–45,Male
1814940,Control,45–60,Unknown
5931603,Control,30–45,Unknown
8778575,Test,45–60,Female
550276,Control,<30,Unknown
2188558,Control,45–60,Male
9335990,Test,30–45,Male
546110,Control,45–60,Male
1194237,Test,30–45,Male
4659938,Test,30–45,Unknown
9379303,Test,45–60,Male
6240210,Control,30–45,Male
7601230,Test,60+,Female
1046915,Control,45–60,Male
5830544,Control,45–60,Female
1354915,Control,<30,Unknown
2495100,Test,30–45,Unknown
5259513,Control,45–60,Male
7958815,Test,60+,Female
4670573,Control,30–45,Female
5628326,Test,60+,Unknown
704762,Test,<30,Unknown
9861727,Test,45–60,Male
5798572,Test,45–60,Female
9970398,Test,60+,Female
5023798,Control,60+,Unknown
6662779,Test,30–45,Female
5490056,Test,30–45,Male
8903537,Test,60+,Unknown
8980847,Test,30–45,Male
7845532,Control,60+,Female
5154317,Control,45–60,Male
7669500,Test,45–60,Unknown
309362,Test,45–60,Unknown
8738868,Test,<30,Unknown
3979168,Control,45–60,Unknown
2062493,Test,60+,Female
72395,Test,45–60,Male
5535892,Test,<30,Female
4652522,Test,45–60,Male
1756570,Control,<30,Unknown
4463047,Test,45–60,Female
7196374,Test,45–60,Unknown
5036234,Control,30–45,Female
5644420,Control,<30,Male
4046775,Test,45–60,Male
7313442,Control,<30,Male
4842605,Control,<30,Unknown
320094,Test,45–60,Male
7494176,Control,60+,Female
5004793,Test,45–60,Female
4405688,Test,45–60,Male
5242916,Test,<30,Male
1040359,Control,45–60,Unknown
8975579,Test,<30,Unknown
7509925,Control,30–45,Female
4644384,Control,45–60,Unknown
1241733,Test,30–45,Female
1652959,Control,30–45,Unknown
3850432,Test,60+,Unknown
1360394,Control,60+,Female
9295772,Test,45–60,Male
6651826,Control,30–45,Unknown
5804408,Control,45–60,Male
5474772,Test,60+,Female
3826012,Test,30–45,Male
9786601,Control,30–45,Unknown
6985473,Control,45–60,Male
2332019,Control,60+,Unknown
339004,Control,30–45,Male
7351291,Test,<30,Male
2458407,Test,60+,Female
2550598,Control,30–45,Unknown
8730685,Control,60+,Male
1612982,Test,60+,Female
9499259,Control,60+,Male
5736976,Test,30–45,Female
7790935,Test,<30,Unknown
3514119,Control,30–45,Male
1976107,Test,45–60,Female
9602386,Control,<30,Unknown
5114008,Control,<30,Unknown
681824,Test,30–45,Female
7909219,Test,45–60,Female
7033655,Test,60+,Male
5816825,Test,45–60,Female
2149499,Control,60+,Male
2554940,Test,30–45,Female
8921195,Control,<30,Male
3221598,Control,<30,Unknown
1977277,Control,45–60,Unknown
9046715,Control,30–45,Male
7172011,Test,30–45,Female
1575877,Control,45–60,Male
9500168,Test,<30,Female
8504929,Test,30–45,Male
3678586,Test,<30,Unknown
4106356,Control,<30,Male
1271683,Test,30–45,Male
4399072,Test,45–60,Female
5929312,Test,45–60,Male
9875262,Test,30–45,Female
1025015,Control,45–60,Male
5092651,Test,30–45,Male
4333852,Test,45–60,Male
2923342,Control,60+,Female
2010755,Test,60+,Male
675622,Test,60+,Female
860831,Test,45–60,Male
9640127,Control,30–45,Unknown
7695537,Control,45–60,Unknown
3306044,Test,45–60,Female
151444,Control,30–45,Unknown
2775837,Control,<30,Unknown
3749858,Control,30–45,Unknown
3510869,Control,30–45,Unknown
4536541,Test,60+,Unknown
9432051,Test,30–45,Unknown
6947986,Control,45–60,Unknown
3071537,Control,30–45,Unknown
3127831,Test,45–60,Unknown
5464721,Test,45–60,Unknown
5644663,Test,60+,Female
2218715,Test,45–60,Female
4371396,Test,30–45,Female
1993947,Control,45–60,Unknown
1260653,Control,<30,Male
869577,Control,30–45,Female
3182538,Test,<30,Unknown
1621556,Test,60+,Female
8479157,Control,60+,Male
7747447,Control,<30,Unknown
4149206,Control,45–60,Female
4776021,Test,<30,Unknown
409787,Test,60+,Male
9242446,Control,60+,Male
5323656,Control,45–60,Male
8253718,Test,60+,Male
9969821,Test,60+,Unknown
8655291,Control,60+,Female
6759484,Control,30–45,Male
4952288,Test,30–45,Unknown
8404765,Control,<30,Male
7380697,Test,45–60,Male
8169732,Test,<30,Unknown
7818968,Test,45–60,Male
947825,Control,45–60,Male
3161390,Test,45–60,Male
5797199,Test,30–45,Male
2497235,Control,45–60,Female
2544481,Test,60+,Male
633140,Control,30–45,Unknown
1596507,Test,60+,Female
2138772,Test,45–60,Female
4795586,Test,60+,Female
8511576,Test,30–45,Female
2530020,Control,30–45,Female
7230520,Test,30–45,Male
2634487,Test,30–45,Unknown
5382590,Control,45–60,Unknown
3943115,Test,60+,Unknown
2015629,Test,45–60,Female
9046844,Control,30–45,Unknown
6579408,Control,<30,Unknown
2297521,Control,60+,Male
198935,Test,60+,Unknown
2297514,Control,60+,Female
3484978,Control,<30,Unknown
7209107,Control,60+,Male
7073358,Control,30–45,Unknown
4014201,Test,45–60,Female
1076354,Test,60+,Female
9121026,Control,45–60,Female
5447175,Test,<30,Unknown
3513137,Test,<30,Male
3537735,Control,30–45,Male
9606793,Control,30–45,Male
7607936,Control,45–60,Female
4805602,Control,30–45,Unknown
983454,Control,60+,Male
9339716,Test,60+,Unknown
4739127,Test,30–45,Male
4535988,Control,45–60,Female
9863604,Control,30–45,Unknown
2654891,Control,<30,Unknown
2515588,Test,60+,Male
8729183,Test,45–60,Unknown
600087,Test,45–60,Female
7215123,Control,45–60,Unknown
8430470,Test,30–45,Unknown
3194104,Test,<30,Unknown
5567976,Control,30–45,Female
3875281,Control,45–60,Male
7236024,Test,60+,Female
978616,Test,60+,Female
3055755,Control,30–45,Female
4899808,Control,45–60,Unknown
4580091,Control,45–60,Male
2696301,Test,60+,Unknown
937991,Control,30–45,Unknown
730546,Test,45–60,Female
6885626,Test,30–45,Unknown
1779464,Test,30–45,Male
6066023,Test,30–45,Male
2788940,Control,45–60,Unknown
5618380,Test,30–45,Female
7698544,Control,30–45,Unknown
410752,Test,<30,Male
9587960,Control,60+,Female
4829813,Test,30–45,Female
1409164,Control,45–60,Unknown
5524988,Test,45–60,Male
5119615,Test,45–60,Female
6488522,Test,45–60,Male
